playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt
Markieff Morris,WAS,Home,Starter,34,82,13,1,2,0,3,2,12,6,0,0,4,NY,Win
Otto Porter,WAS,Home,Starter,29,80,13,3,3,2,1,2,13,5,4,2,10,NY,Win
Kelly Oubre Jr.,WAS,Home,Bench,27,79,13,0,0,1,0,2,14,6,3,1,5,NY,Win
Ramon Sessions,WAS,Home,Bench,16,75,11,3,2,1,0,0,4,2,7,7,2,NY,Win
Tomáš Satoranský,WAS,Home,Starter,36,79,9,10,3,3,1,4,4,3,2,2,4,NY,Win
Mike Scott,WAS,Home,Bench,26,80,8,2,0,0,0,0,6,3,0,0,4,NY,Win
C.J. McCollum,POR,Away,Starter,38,75,34,4,1,1,0,2,24,14,2,1,4,OKC,Loss
Damian Lillard,POR,Away,Starter,38,75,24,5,2,3,0,1,19,6,11,11,7,OKC,Loss
Jusuf Nurkic,POR,Away,Starter,30,83,17,1,1,2,2,3,13,8,2,1,12,OKC,Loss
Moe Harkless,POR,Away,Starter,34,81,16,4,0,0,4,4,11,7,0,0,6,OKC,Loss
Al-Farouq Aminu,POR,Away,Starter,33,81,9,2,1,2,0,1,9,3,4,2,7,OKC,Loss
Ed Davis,POR,Away,Bench,18,82,2,1,3,0,0,4,3,1,0,0,2,OKC,Loss
Evan Turner,POR,Away,Bench,14,79,2,0,2,0,0,0,4,1,0,0,1,OKC,Loss
Russell Westbrook,OKC,Home,Starter,36,75,23,9,3,4,0,6,20,9,6,4,8,POR,Win
Steven Adams,OKC,Home,Starter,36,84,18,1,2,0,2,2,14,8,2,2,10,POR,Win
Jerami Grant,OKC,Home,Bench,19,80,17,1,0,0,1,1,5,4,8,7,3,POR,Win
Paul George,OKC,Home,Starter,39,80,16,2,2,1,1,2,15,4,8,8,2,POR,Win
Raymond Felton,OKC,Home,Bench,18,73,11,1,1,2,0,0,9,5,0,0,0,POR,Win
Carmelo Anthony,OKC,Home,Starter,29,80,6,1,1,0,1,2,13,3,0,0,8,POR,Win
Corey Brewer,OKC,Home,Starter,27,81,6,0,1,0,0,4,4,2,2,0,3,POR,Win
Taurean Prince,ATL,Away,Starter,37,80,28,2,3,2,0,0,18,11,3,3,6,HOU,Win
Isaiah Taylor,ATL,Away,Starter,32,74,26,3,2,1,0,4,17,10,4,3,1,HOU,Win
Tyler Dorsey,ATL,Away,Bench,29,76,16,1,1,0,0,2,15,6,0,0,5,HOU,Win
Mike Muscala,ATL,Away,Bench,27,83,13,3,1,0,0,0,10,5,2,2,6,HOU,Win
Dewayne Dedmon,ATL,Away,Starter,30,84,6,1,1,0,1,1,7,3,0,0,7,HOU,Win
John Collins,ATL,Away,Starter,25,82,6,2,2,0,1,1,3,2,2,2,10,HOU,Win
Damion Lee,ATL,Away,Starter,25,78,4,1,1,1,0,3,9,2,0,0,5,HOU,Win
Gerald Green,HOU,Home,Bench,32,80,25,2,1,1,0,1,15,10,0,0,7,ATL,Loss
Eric Gordon,HOU,Home,Starter,32,75,22,4,2,1,1,0,13,8,2,2,2,ATL,Loss
James Harden,HOU,Home,Starter,30,77,18,15,2,2,0,2,15,6,5,5,10,ATL,Loss
Trevor Ariza,HOU,Home,Starter,31,80,14,0,1,0,0,2,14,4,2,2,4,ATL,Loss
Clint Capela,HOU,Home,Starter,28,82,14,1,2,2,2,1,9,7,0,0,8,ATL,Loss
P.J. Tucker,HOU,Home,Starter,30,77,12,0,1,0,0,1,9,4,0,0,1,ATL,Loss
Joe Johnson,HOU,Home,Bench,29,80,9,4,1,0,0,1,9,3,2,1,4,ATL,Loss
Donovan Mitchell,UTA,Away,Starter,31,75,21,6,2,2,1,2,19,8,2,1,2,GS,Loss
Rudy Gobert,UTA,Away,Starter,31,85,17,3,1,0,4,2,11,7,4,3,15,GS,Loss
Joe Ingles,UTA,Away,Starter,32,80,14,8,2,2,0,1,12,4,2,2,6,GS,Loss
Jae Crowder,UTA,Away,Bench,30,78,14,2,0,0,0,2,11,6,0,0,5,GS,Loss
Dante Exum,UTA,Away,Bench,17,77,13,5,2,0,0,0,8,5,2,2,1,GS,Loss
Ricky Rubio,UTA,Away,Starter,26,76,11,0,3,1,0,3,10,4,2,2,3,GS,Loss
Derrick Favors,UTA,Away,Starter,24,82,10,1,0,0,1,2,7,4,4,2,8,GS,Loss
Quinn Cook,GS,Home,Starter,35,74,17,8,1,1,1,1,15,7,2,2,4,UTA,Win
Andre Iguodala,GS,Home,Bench,19,78,12,2,1,1,0,3,7,4,0,0,2,UTA,Win
Nick Young,GS,Home,Starter,38,79,9,1,1,1,0,3,14,3,2,2,3,UTA,Win
David West,GS,Home,Bench,13,81,9,0,0,1,1,0,8,4,1,1,2,UTA,Win
Patrick McCaw,GS,Home,Starter,33,79,8,3,3,0,0,2,10,3,2,2,2,UTA,Win
JaVale McGee,GS,Home,Starter,18,84,8,0,0,1,2,2,12,4,0,0,9,UTA,Win
Kevon Looney,GS,Home,Starter,24,81,6,2,1,2,2,4,6,2,2,2,5,UTA,Win
Trey Burke,NY,Away,Starter,41,73,42,12,2,1,0,1,31,19,1,1,1,CHA,Win
Michael Beasley,NY,Away,Starter,35,82,27,1,3,1,0,4,22,12,2,2,8,CHA,Win
Tim Hardaway Jr.,NY,Away,Starter,36,78,17,2,1,1,0,2,12,5,5,5,5,CHA,Win
Enes Kanter,NY,Away,Starter,33,83,15,2,0,0,0,5,13,7,1,1,13,CHA,Win
Frank Ntilikina,NY,Away,Bench,18,77,12,3,2,1,0,6,10,6,0,0,1,CHA,Win
Luke Kornet,NY,Away,Bench,27,85,8,0,1,1,1,0,6,2,2,2,5,CHA,Win
Lance Thomas,NY,Away,Starter,20,80,3,1,0,0,0,4,4,1,0,0,2,CHA,Win
Kemba Walker,CHA,Home,Starter,39,73,31,7,3,0,0,1,21,11,5,5,2,NY,Loss
Dwight Howard,CHA,Home,Starter,36,83,23,1,6,0,0,4,15,9,5,5,13,NY,Loss
Marvin Williams,CHA,Home,Starter,30,81,13,1,1,1,2,1,10,6,1,1,4,NY,Loss
Jeremy Lamb,CHA,Home,Bench,28,77,12,6,1,0,0,0,7,3,4,4,6,NY,Loss
Willy Hernangómez,CHA,Home,Bench,17,82,12,1,0,1,1,3,7,5,2,2,5,NY,Loss
Malik Monk,CHA,Home,Bench,16,75,11,1,0,0,0,0,7,4,0,0,1,NY,Loss
Frank Kaminsky,CHA,Home,Bench,23,85,10,1,2,1,0,0,6,3,3,3,4,NY,Loss
Julius Randle,LAL,Away,Starter,32,81,23,1,5,1,0,5,13,7,10,9,11,DET,Win
Kyle Kuzma,LAL,Away,Starter,41,81,20,1,3,0,0,1,15,8,3,2,11,DET,Win
Lonzo Ball,LAL,Away,Starter,43,78,15,11,2,2,0,4,8,7,0,0,8,DET,Win
Brook Lopez,LAL,Away,Starter,32,84,14,9,0,0,5,5,16,6,4,2,3,DET,Win
Kentavious Caldwell-Pope,LAL,Away,Starter,38,78,13,3,0,0,1,1,17,5,0,0,5,DET,Win
Ivica Zubac,LAL,Away,Bench,9,85,7,1,0,0,1,1,5,2,4,3,4,DET,Win
Tyler Ennis,LAL,Away,Bench,18,74,6,3,0,0,0,1,7,3,0,0,1,DET,Win
Reggie Jackson,DET,Home,Starter,28,75,20,3,1,0,0,3,22,9,0,0,5,LAL,Loss
Reggie Bullock,DET,Home,Starter,30,79,16,0,0,1,1,0,14,7,0,0,5,LAL,Loss
Andre Drummond,DET,Home,Starter,39,83,15,2,3,0,1,4,16,5,6,5,18,LAL,Loss
Blake Griffin,DET,Home,Starter,24,82,15,3,2,0,0,6,9,6,3,1,5,LAL,Loss
Anthony Tolliver,DET,Home,Bench,28,81,15,3,0,0,0,2,9,4,4,4,3,LAL,Loss
Ishmael Smith,DET,Home,Bench,20,72,12,2,1,0,0,3,9,5,0,0,0,LAL,Loss
Luke Kennard,DET,Home,Bench,19,78,7,2,0,0,0,0,7,3,0,0,2,LAL,Loss
Will Barton,DEN,Away,Starter,36,77,25,3,3,0,0,2,15,8,4,4,1,PHI,Win
Jamal Murray,DEN,Away,Starter,36,76,17,3,1,2,2,2,18,7,1,1,3,PHI,Win
Paul Millsap,DEN,Away,Starter,32,80,16,3,1,1,0,2,11,5,11,6,9,PHI,Win
Nikola Jokić,DEN,Away,Starter,31,82,14,4,2,1,1,4,14,4,6,5,7,PHI,Win
Wilson Chandler,DEN,Away,Starter,35,80,8,7,2,2,0,2,8,3,2,1,8,PHI,Win
Mason Plumlee,DEN,Away,Bench,13,82,7,2,3,1,3,3,3,3,4,1,1,PHI,Win
Devin Harris,DEN,Away,Bench,21,75,5,3,1,2,0,3,6,1,4,3,2,PHI,Win
Dario Saric,PHI,Home,Starter,29,82,20,3,3,0,0,2,14,7,3,3,6,DEN,Loss
Joel Embiid,PHI,Home,Starter,27,84,20,2,4,1,2,5,12,6,10,8,13,DEN,Loss
J.J. Redick,PHI,Home,Starter,27,76,19,2,1,0,0,1,11,6,4,3,0,DEN,Loss
Robert Covington,PHI,Home,Starter,34,81,18,2,2,1,1,4,11,6,2,2,6,DEN,Loss
Ersan Ilyasova,PHI,Home,Bench,24,81,11,1,1,1,3,3,8,5,2,0,6,DEN,Loss
Marco Belinelli,PHI,Home,Bench,20,77,11,2,1,0,0,3,8,5,0,0,4,DEN,Loss
Markelle Fultz,PHI,Home,Bench,14,76,10,8,1,0,0,1,13,5,0,0,4,DEN,Loss
Wayne Selden,MEM,Away,Bench,26,78,23,4,2,3,0,1,14,9,1,1,1,MIN,Loss
Marc Gasol,MEM,Away,Starter,34,84,20,6,1,2,3,3,16,7,2,2,10,MIN,Loss
JaMychal Green,MEM,Away,Starter,40,80,11,2,3,0,0,3,9,4,2,1,11,MIN,Loss
Andrew Harrison,MEM,Away,Starter,34,78,11,4,3,1,1,1,12,5,0,0,1,MIN,Loss
Jarell Martin,MEM,Away,Starter,30,81,11,0,0,0,0,4,13,5,0,0,4,MIN,Loss
Mario Chalmers,MEM,Away,Bench,14,73,10,3,2,0,0,5,6,4,2,2,2,MIN,Loss
Ben McLemore,MEM,Away,Bench,8,77,6,0,0,1,0,1,4,2,0,0,0,MIN,Loss
Jeff Teague,MIN,Home,Starter,42,74,25,7,2,2,0,3,13,7,10,10,2,MEM,Win
Taj Gibson,MIN,Home,Starter,43,81,18,0,3,2,3,1,12,8,4,2,8,MEM,Win
Andrew Wiggins,MIN,Home,Starter,43,80,18,2,1,2,0,1,17,7,5,3,7,MEM,Win
Karl-Anthony Towns,MIN,Home,Starter,39,83,15,6,3,0,3,4,13,5,4,3,12,MEM,Win
Jamal Crawford,MIN,Home,Bench,30,78,10,3,3,0,0,3,12,3,1,1,3,MEM,Win
Gorgui Dieng,MIN,Home,Bench,14,83,7,0,1,0,0,0,7,3,0,0,0,MEM,Win
Nemanja Bjelica,MIN,Home,Starter,22,82,0,1,1,1,0,3,5,0,0,0,4,MEM,Win
Jayson Tatum,BOS,Away,Starter,32,80,23,0,4,2,0,4,18,10,1,1,6,PHO,Loss
Marcus Morris,BOS,Away,Bench,23,81,20,1,0,0,0,0,8,6,5,5,3,PHO,Loss
Al Horford,BOS,Away,Starter,32,82,19,7,1,1,1,2,12,7,2,2,9,PHO,Loss
Terry Rozier,BOS,Away,Starter,31,73,16,3,0,1,0,1,16,4,4,4,7,PHO,Loss
Greg Monroe,BOS,Away,Bench,19,83,8,3,2,1,0,3,8,3,2,2,4,PHO,Loss
Jaylen Brown,BOS,Away,Starter,25,79,7,3,4,2,0,1,11,3,0,0,5,PHO,Loss
Aron Baynes,BOS,Away,Starter,18,82,4,3,2,0,0,3,2,2,0,0,6,PHO,Loss
Josh Jackson,PHO,Home,Starter,39,80,23,2,3,2,0,2,15,9,9,4,6,BOS,Win
Tyler Ulis,PHO,Home,Bench,30,70,19,8,4,1,1,1,12,7,4,3,5,BOS,Win
Troy Daniels,PHO,Home,Starter,36,76,18,0,1,0,0,1,16,6,0,0,6,BOS,Win
Marquese Chriss,PHO,Home,Starter,24,82,13,2,0,0,1,0,8,6,2,0,4,BOS,Win
Alex Len,PHO,Home,Bench,14,85,8,0,0,1,0,3,8,3,2,2,6,BOS,Win
Davon Reed,PHO,Home,Bench,14,78,5,0,1,0,0,1,6,2,0,0,0,BOS,Win
Dragan Bender,PHO,Home,Starter,34,84,3,0,2,1,2,2,7,1,0,0,10,BOS,Win
LaMarcus Aldridge,SA,Away,Starter,18,83,13,2,1,0,1,1,6,4,6,5,4,WAS,Win
Bryn Forbes,SA,Away,Bench,18,75,12,6,0,0,0,0,7,3,7,5,3,WAS,Win
Patrick Mills,SA,Away,Starter,26,72,11,6,2,3,0,1,7,4,0,0,3,WAS,Win
Pau Gasol,SA,Away,Bench,18,84,10,1,0,0,0,0,10,4,3,2,6,WAS,Win
Joffrey Lauvergne,SA,Away,Bench,16,83,9,0,1,0,0,1,7,4,2,1,5,WAS,Win
Danny Green,SA,Away,Starter,24,78,8,1,1,0,1,2,6,3,0,0,1,WAS,Win
Dāvis Bertāns,SA,Away,Bench,19,82,8,0,0,1,1,3,9,3,0,0,1,WAS,Win
Markieff Morris,WAS,Home,Starter,17,82,15,1,3,1,0,4,7,7,0,0,2,SA,Loss
Otto Porter,WAS,Home,Starter,23,80,14,3,0,2,2,0,7,6,0,0,2,SA,Loss
Jodie Meeks,WAS,Home,Bench,20,76,13,2,0,0,0,0,11,5,1,1,2,SA,Loss
Marcin Gortat,WAS,Home,Starter,24,84,12,1,0,0,1,1,9,5,3,2,8,SA,Loss
Kelly Oubre Jr.,WAS,Home,Bench,28,79,12,4,0,0,1,5,9,4,4,4,9,SA,Loss
Ramon Sessions,WAS,Home,Bench,24,75,12,6,4,0,0,3,6,3,6,4,3,SA,Loss
Mike Scott,WAS,Home,Bench,21,80,11,4,2,0,0,3,12,5,0,0,7,SA,Loss
Nikola Jokić,DEN,Away,Starter,40,82,29,8,3,2,1,2,21,11,4,4,16,TOR,Win
Paul Millsap,DEN,Away,Starter,30,80,20,2,0,1,1,3,12,9,1,1,4,TOR,Win
Jamal Murray,DEN,Away,Starter,40,76,15,3,2,1,1,1,18,6,1,1,4,TOR,Win
Trey Lyles,DEN,Away,Bench,14,82,13,1,1,0,2,2,6,5,0,0,5,TOR,Win
Will Barton,DEN,Away,Starter,33,77,10,2,3,1,0,2,15,4,0,0,1,TOR,Win
Wilson Chandler,DEN,Away,Starter,33,80,7,3,0,1,0,2,7,3,0,0,4,TOR,Win
Devin Harris,DEN,Away,Bench,23,75,7,4,2,0,0,3,5,1,6,5,2,TOR,Win
DeMar DeRozan,TOR,Home,Starter,30,79,15,8,2,2,0,2,12,7,0,0,1,DEN,Loss
Jonas Valančiūnas,TOR,Home,Starter,23,84,15,0,2,0,4,2,10,6,4,3,7,DEN,Loss
Fred VanVleet,TOR,Home,Bench,25,72,15,4,0,1,0,1,7,5,3,2,1,DEN,Loss
Serge Ibaka,TOR,Home,Starter,25,83,13,2,0,1,4,1,11,6,0,0,6,DEN,Loss
Pascal Siakam,TOR,Home,Bench,23,82,12,6,1,0,0,5,10,5,2,2,3,DEN,Loss
Jakob Pöltl,TOR,Home,Bench,18,85,12,0,1,0,1,4,8,6,0,0,8,DEN,Loss
Kyle Lowry,TOR,Home,Starter,33,72,11,8,2,0,4,0,10,4,0,0,5,DEN,Loss
Lauri Markkanen,CHI,Away,Starter,28,84,22,2,5,0,1,2,15,8,5,4,4,HOU,Win
Denzel Valentine,CHI,Away,Bench,29,77,12,3,3,2,0,3,12,5,2,0,4,HOU,Win
Sean Kilpatrick,CHI,Away,Bench,18,76,12,0,1,0,0,0,9,5,2,1,2,HOU,Win
Bobby Portis,CHI,Away,Bench,26,83,11,1,0,2,0,1,10,5,0,0,8,HOU,Win
Noah Vonleh,CHI,Away,Bench,26,82,10,3,1,1,0,4,9,5,1,0,12,HOU,Win
David Nwaba,CHI,Away,Starter,30,76,6,0,3,1,0,2,8,2,2,2,6,HOU,Win
Justin Holiday,CHI,Away,Starter,24,78,5,1,1,0,0,1,8,2,1,0,2,HOU,Win
Eric Gordon,HOU,Home,Starter,26,75,31,1,0,0,1,1,17,11,2,1,1,CHI,Loss
Trevor Ariza,HOU,Home,Starter,26,80,21,2,0,4,1,0,12,6,5,5,6,CHI,Loss
Gerald Green,HOU,Home,Bench,30,80,14,3,2,0,0,1,14,4,5,5,7,CHI,Loss
Chris Paul,HOU,Home,Starter,28,72,13,10,3,4,0,1,12,4,2,2,4,CHI,Loss
Nenê,HOU,Home,Starter,21,83,10,3,0,3,0,0,7,4,2,2,7,CHI,Loss
Joe Johnson,HOU,Home,Bench,29,80,10,5,0,0,0,1,9,4,2,2,2,CHI,Loss
P.J. Tucker,HOU,Home,Starter,27,77,9,2,1,2,2,0,9,4,0,0,8,CHI,Loss
LeBron James,CLE,Away,Starter,38,80,18,7,6,0,0,1,18,7,5,4,6,MIA,Win
Rodney Hood,CLE,Away,Bench,26,80,15,0,0,1,0,2,13,6,1,1,3,MIA,Win
Jose Calderon,CLE,Away,Starter,26,75,11,2,3,1,0,2,8,4,2,2,1,MIA,Win
Jordan Clarkson,CLE,Away,Bench,27,77,11,2,1,1,0,2,13,5,0,0,0,MIA,Win
Tristan Thompson,CLE,Away,Bench,17,80,6,0,2,1,0,0,3,1,8,4,13,MIA,Win
Jeff Green,CLE,Away,Starter,31,81,5,1,1,2,0,2,10,2,2,1,4,MIA,Win
George Hill,CLE,Away,Starter,26,74,4,2,0,2,0,2,6,2,0,0,2,MIA,Win
Kelly Olynyk,MIA,Home,Bench,25,84,19,3,1,3,0,4,9,7,5,2,5,CLE,Loss
James Johnson,MIA,Home,Starter,33,81,15,5,2,2,3,0,11,7,1,1,9,CLE,Loss
Josh Richardson,MIA,Home,Starter,30,78,15,2,1,2,1,3,13,6,2,2,7,CLE,Loss
Dwyane Wade,MIA,Home,Bench,17,76,12,4,4,1,4,2,11,5,2,2,2,CLE,Loss
Goran Dragić,MIA,Home,Starter,29,76,10,5,3,0,0,0,8,4,0,0,3,CLE,Loss
Tyler Johnson,MIA,Home,Starter,29,76,7,2,0,0,0,2,9,2,2,2,2,CLE,Loss
Jordan Mickey,MIA,Home,Starter,23,80,7,0,1,1,1,2,6,3,2,1,5,CLE,Loss
Damian Lillard,POR,Away,Starter,42,75,41,6,0,4,0,3,33,18,2,2,9,NO,Loss
Jusuf Nurkic,POR,Away,Starter,30,83,21,0,2,1,4,3,14,10,1,1,10,NO,Loss
Evan Turner,POR,Away,Starter,36,79,14,2,0,0,0,4,10,5,3,2,6,NO,Loss
Al-Farouq Aminu,POR,Away,Starter,35,81,10,2,1,3,1,4,13,3,2,2,10,NO,Loss
Shabazz Napier,POR,Away,Bench,18,73,8,1,4,2,0,1,6,3,0,0,3,NO,Loss
C.J. McCollum,POR,Away,Starter,37,75,7,5,3,1,2,0,19,3,0,0,4,NO,Loss
Ed Davis,POR,Away,Bench,18,82,4,1,0,0,0,0,4,2,0,0,3,NO,Loss
Anthony Davis,NO,Home,Starter,39,82,36,4,4,2,6,2,24,15,6,6,14,POR,Win
Jrue Holiday,NO,Home,Starter,40,75,21,11,6,0,2,3,17,9,3,3,11,POR,Win
E'Twaun Moore,NO,Home,Starter,32,76,11,7,1,0,1,3,12,5,0,0,3,POR,Win
Solomon Hill,NO,Home,Bench,21,79,9,4,1,1,0,3,7,3,2,1,3,POR,Win
Ian Clark,NO,Home,Starter,29,75,8,2,1,0,0,2,11,4,0,0,0,POR,Win
Emeka Okafor,NO,Home,Starter,15,82,6,0,1,0,0,2,4,2,2,2,9,POR,Win
Darius Miller,NO,Home,Bench,30,80,5,0,2,0,0,2,9,2,0,0,3,POR,Win
Harrison Barnes,DAL,Away,Starter,34,80,20,6,1,0,1,0,12,6,6,5,5,SAC,Loss
Dennis Smith,DAL,Away,Starter,25,75,19,6,5,0,0,2,12,6,4,4,1,SAC,Loss
Doug McDermott,DAL,Away,Bench,23,80,15,0,1,1,0,1,7,6,0,0,5,SAC,Loss
Aaron Harrison,DAL,Away,Starter,25,78,10,0,1,1,1,3,8,3,2,2,5,SAC,Loss
Johnathan Motley,DAL,Away,Bench,11,82,10,0,0,0,0,3,6,4,4,2,1,SAC,Loss
Yogi Ferrell,DAL,Away,Bench,19,72,9,3,0,2,1,1,10,3,3,1,1,SAC,Loss
Maxi Kleber,DAL,Away,Starter,33,81,6,0,1,1,1,3,6,3,0,0,9,SAC,Loss
Skal Labissière,SAC,Home,Starter,30,83,19,3,0,0,1,1,15,8,3,3,8,DAL,Win
Kosta Koufos,SAC,Home,Bench,14,84,15,0,0,0,0,1,10,7,1,1,7,DAL,Win
Buddy Hield,SAC,Home,Bench,25,77,14,2,0,1,0,4,15,6,0,0,2,DAL,Win
Willie Cauley-Stein,SAC,Home,Starter,25,84,13,2,3,4,0,3,5,5,6,3,6,DAL,Win
Justin Jackson,SAC,Home,Starter,31,80,10,3,1,0,1,1,11,4,0,0,8,DAL,Win
Bogdan Bogdanovic,SAC,Home,Starter,27,78,10,2,2,0,0,4,7,4,2,1,3,DAL,Win
Frank Mason,SAC,Home,Bench,26,71,8,5,1,0,1,3,13,1,6,6,6,DAL,Win
Victor Oladipo,IND,Away,Starter,33,76,24,6,1,2,0,2,12,9,5,4,6,GS,Loss
Thaddeus Young,IND,Away,Starter,34,80,17,2,2,1,0,3,17,8,2,1,10,GS,Loss
Bojan Bogdanović,IND,Away,Starter,31,80,17,2,1,2,0,1,13,7,0,0,2,GS,Loss
Domantas Sabonis,IND,Away,Bench,24,83,7,3,2,0,0,2,3,3,2,1,6,GS,Loss
Glenn Robinson,IND,Away,Bench,16,78,7,0,0,2,0,0,6,3,0,0,2,GS,Loss
Lance Stephenson,IND,Away,Bench,21,77,6,2,0,0,0,3,8,3,0,0,5,GS,Loss
Myles Turner,IND,Away,Starter,30,84,5,0,1,1,2,1,7,2,2,1,3,GS,Loss
Nick Young,GS,Home,Starter,31,79,12,1,0,0,0,1,11,4,2,2,3,IND,Win
Quinn Cook,GS,Home,Starter,36,74,11,7,3,0,0,1,17,5,0,0,4,IND,Win
Andre Iguodala,GS,Home,Bench,26,78,11,1,2,1,1,2,10,5,1,0,4,IND,Win
JaVale McGee,GS,Home,Bench,12,84,9,0,1,0,0,6,9,4,2,1,8,IND,Win
Kevon Looney,GS,Home,Bench,28,81,8,2,2,1,2,2,5,3,2,1,11,IND,Win
Shaun Livingston,GS,Home,Bench,19,79,8,2,0,0,0,1,6,4,0,0,5,IND,Win
David West,GS,Home,Bench,16,81,8,2,1,0,2,1,8,3,2,2,5,IND,Win
Giannis Antetokounmpo,MIL,Away,Starter,40,82,26,7,4,0,5,0,16,10,9,5,9,LAC,Win
Khris Middleton,MIL,Away,Starter,36,79,22,3,2,0,2,4,17,7,6,5,7,LAC,Win
Eric Bledsoe,MIL,Away,Starter,34,73,14,6,6,2,0,3,10,6,3,2,9,LAC,Win
Jason Terry,MIL,Away,Starter,32,74,10,2,1,5,0,0,7,4,1,0,3,LAC,Win
John Henson,MIL,Away,Starter,34,83,8,2,1,0,1,2,7,4,0,0,8,LAC,Win
Tyler Zeller,MIL,Away,Bench,14,84,8,2,0,2,0,1,6,3,2,2,5,LAC,Win
Tony Snell,MIL,Away,Bench,7,79,4,0,0,0,2,2,2,2,0,0,0,LAC,Win
Tobias Harris,LAC,Home,Starter,37,80,19,5,0,2,0,3,17,8,1,0,3,MIL,Loss
Lou Williams,LAC,Home,Bench,37,74,16,4,7,1,0,1,16,5,6,5,5,MIL,Loss
Austin Rivers,LAC,Home,Starter,35,76,13,2,2,1,0,3,11,5,1,0,3,MIL,Loss
Milos Teodosic,LAC,Home,Starter,16,77,13,4,1,0,1,2,5,4,2,1,1,MIL,Loss
DeAndre Jordan,LAC,Home,Starter,33,84,12,3,0,0,1,1,9,5,4,2,16,MIL,Loss
Wes Johnson,LAC,Home,Starter,23,79,9,1,0,3,1,4,9,3,0,0,1,MIL,Loss
Sindarius Thornwell,LAC,Home,Bench,16,77,6,2,1,1,0,2,5,3,0,0,3,MIL,Loss
LeBron James,CLE,Away,Starter,37,80,41,8,4,1,0,1,26,14,11,9,10,CHA,Loss
J.R. Smith,CLE,Away,Bench,31,78,19,3,1,3,0,1,9,8,2,2,5,CHA,Loss
Jeff Green,CLE,Away,Starter,32,81,18,1,0,1,0,1,15,6,5,5,1,CHA,Loss
Rodney Hood,CLE,Away,Starter,27,80,13,1,0,0,0,1,12,5,2,1,5,CHA,Loss
George Hill,CLE,Away,Starter,35,74,9,4,0,0,0,3,13,4,0,0,2,CHA,Loss
Jordan Clarkson,CLE,Away,Bench,19,77,5,1,1,0,0,4,6,2,0,0,2,CHA,Loss
Larry Nance Jr.,CLE,Away,Bench,20,80,4,0,0,4,1,3,5,2,0,0,9,CHA,Loss
Kemba Walker,CHA,Home,Starter,33,73,21,4,2,0,0,0,18,7,5,5,2,CLE,Win
Dwight Howard,CHA,Home,Starter,29,83,19,1,0,0,1,3,12,7,5,5,10,CLE,Win
Frank Kaminsky,CHA,Home,Bench,18,85,16,0,1,0,0,1,9,7,2,1,5,CLE,Win
Michael Kidd-Gilchrist,CHA,Home,Starter,21,79,11,1,1,0,0,4,7,5,2,1,2,CLE,Win
Jeremy Lamb,CHA,Home,Bench,25,77,11,2,1,1,0,0,6,4,2,2,3,CLE,Win
Malik Monk,CHA,Home,Bench,15,75,7,0,2,0,0,2,6,3,0,0,2,CLE,Win
Marvin Williams,CHA,Home,Starter,38,81,6,3,2,1,1,1,4,0,6,6,5,CLE,Win
D'Angelo Russell,BKN,Away,Starter,30,77,16,12,2,1,1,0,9,5,4,4,5,ORL,Loss
Caris LeVert,BKN,Away,Bench,25,79,16,6,1,1,0,3,14,6,2,2,3,ORL,Loss
Jarrett Allen,BKN,Away,Starter,28,83,15,1,1,1,1,1,9,6,5,3,8,ORL,Loss
Rondae Hollis-Jefferson,BKN,Away,Starter,33,79,14,4,2,2,0,2,15,4,7,6,9,ORL,Loss
DeMarre Carroll,BKN,Away,Starter,30,80,14,2,1,1,1,5,10,6,0,0,12,ORL,Loss
Joe Harris,BKN,Away,Bench,27,78,14,3,0,0,1,2,4,4,4,4,3,ORL,Loss
Allen Crabbe,BKN,Away,Starter,30,78,13,0,0,0,0,1,14,5,0,0,2,ORL,Loss
Nikola Vučević,ORL,Home,Starter,31,82,24,5,3,0,0,2,21,11,1,1,15,BKN,Win
Mario Hezonja,ORL,Home,Starter,36,79,23,3,1,1,0,2,17,8,5,5,7,BKN,Win
Aaron Gordon,ORL,Home,Starter,32,81,15,3,1,0,0,3,13,6,0,0,3,BKN,Win
D.J. Augustin,ORL,Home,Starter,32,72,14,3,1,1,0,3,10,4,4,3,1,BKN,Win
Shelvin Mack,ORL,Home,Bench,29,75,13,6,1,1,0,1,12,5,2,1,4,BKN,Win
Khem Birch,ORL,Home,Bench,10,81,6,1,1,0,0,1,6,3,0,0,7,BKN,Win
Bismack Biyombo,ORL,Home,Bench,12,81,5,0,1,0,2,0,3,2,2,1,4,BKN,Win
Michael Beasley,NY,Away,Starter,35,82,22,3,1,0,2,0,20,9,5,3,8,PHI,Win
Emmanuel Mudiay,NY,Away,Bench,25,77,22,2,3,1,2,3,15,8,6,5,4,PHI,Win
Trey Burke,NY,Away,Starter,28,73,18,6,3,1,0,0,15,7,2,2,2,PHI,Win
Enes Kanter,NY,Away,Starter,31,83,17,1,3,0,1,5,11,5,9,7,14,PHI,Win
Tim Hardaway Jr.,NY,Away,Starter,33,78,9,2,1,0,0,3,13,3,2,1,3,PHI,Win
Troy Williams,NY,Away,Bench,22,79,5,2,1,2,0,4,4,1,2,2,4,PHI,Win
